score,sentence1_tr,sentence2_tr
4.0,Bir kız uçurtma uçursuyor.,Koşan bir kız uçurtma uçursuyor.
4.0,Bir adam mekanik boğaya biniyor.,Bir adam mekanik boğaya bindi.
4.909,Adam gitar çalıyor.,Bir adam gitar çalıyor.
3.0,Bir kadın diğer kadınlarla dans ediyor ve şarkı söylüyor.,Bir kadın yağmurda dans ediyor ve şarkı söylüyor.
2.4,Bir adam çörek dilimliyor.,Bir adam soğanı dilimliyor.
4.2,Bir adam tavaya yağ döküyor.,Bir adam tavaya yağ döküyor.
3.4,Bir aslan insanlarla oynuyor.,Bir aslan iki adamla oynuyor.
5.0,Bir köpek kaykaya biner.,Bir köpek kaykay sürüyor.
3.75,Birisi heykel oyuyor.,Bir adam heykel oyuyor.
2.75,Bir kadın soğanı dilimliyor.,Bir adam soğan kesiyor.
5.0,Bir kadın karides soyuyor.,Bir kadın karides soyuyor.
4.0,Bir kadın balık kızartıyor.,Bir kadın balık pişiriyor.
3.6,Bir kadın elektro gitar çalıyor.,Bir kadın gitar çalıyor.
1.6,Yavru bir kaplan topla oynuyor.,Bir bebek bir bebekle oynuyor.
1.75,Bir insan domatesi dilimliyor.,Bir insan biraz et dilimliyor.
5.0,Bir insan soğan keser.,Bir insan soğan kesiyor.
1.0,Bir adam piyano çalıyor.,Bir kadın keman çalıyor.
1.0,Bir kadın flüt çalıyor.,Bir adam gitar çalıyor.
2.375,Bir adam patates kesiyor.,Bir adam havuç kesiyor.
3.8,Bir çocuk gitar çalıyor.,Bir çocuk gitar çalıyor.
3.2,Bir çocuk gitar çalıyor.,Bir adam gitar çalıyor.
3.2,Bir adam gitar çalıyor.,Bir çocuk gitar çalıyor.
4.4,Küçük bir çocuk klavye çalıyor.,Bir çocuk anahtar tahtası oynuyor.
3.75,Bir adam gitar çalıyor.,Bir adam elektro gitar çalıyor.
4.75,Bir köpek bebeği yalar.,Bir köpek bebeği yalıyor.
3.2,Bir kadın soğanı dilimliyor.,Bir adam kesiyor ve soğan.
1.556,Bir adam gitar çalıyor.,Bir adam davul çalıyor.
3.938,Bir kadın biberi dilimliyor.,Bir kadın kırmızı biber kesiyor.
5.0,Bir adam davul çalıyor.,Bir adam davul çalar.
5.0,Bir kadın ata biner.,Bir kadın ata biniyor.
4.0,Bir adam ağacın yanında muz yiyor.,Bir adam muz yiyor.
1.6,Bir kedi anahtar tahtası oynuyor.,Bir adam iki klavye çalıyor.
4.75,Bir adam baltayla ağacı keser.,Bir adam baltayla ağaç kesti.
3.5,Bir çocuk oyuncak telefonla oynuyor.,Küçük bir çocuk oyuncak telefonla oynuyor.
1.4,Bir adam motosiklet kullanıyor.,Bir adam ata biniyor.
1.4,Bir adam motosiklet kullanıyor.,Bir adam ata biniyor.
4.0,Bir sincap daireler çiziyor.,Bir sincap daireler çizerek dolaşır.
5.0,Bir erkek ve bir kadın öpüşüyor.,Bir erkek ve kadın öpüşür.
3.833,Bir adam arabaya biniyor.,Bir adam garajda arabaya biniyor.
0.6,Bir adam dans ediyor.,Bir adam konuşuyor.
2.917,Bir adam gitar çalıp şarkı söylüyor.,Bir adam gitar çalıyor.
4.2,Bir insan mantar kesiyor.,Bir insan bıçakla mantar kesiyor.
2.0,Bir kaplan yavrusu ses çıkarıyor.,Etrafta bir kaplan dolaşıyor.
2.6,Bir kişi soğan dilimliyor.,Bir insan soğan soyuyor.
1.6,Bir adam piyano çalıyor.,Bir adam trompet çalıyor.
2.0,Bir kadın patates soyuyor.,Bir kadın bir elmayı soyuyor.
4.2,Bir pankda bambu yiyor.,Bir panda ayı bambu yiyor.
2.0,Bir insan soğan soyuyor.,Bir insan patlıcan soyuyor.
4.8,Bir maymun başka bir maymunu itiyor.,Maymun diğer maymunu itti.
4.4,Bir sincap daireler çizerek dolaşır.,Bir sincap daireler çiziyor.
5.0,Bir adam ayakkabısını bağlıyor.,Bir adam ayakkabısını bağlar.
3.0,Bir çocuk şarkı söylüyor ve piyano çalıyor.,Bir çocuk piyano çalıyor.
4.25,Bir köpek su kavunu yiyor.,Bir köpek karpuz yiyor.
4.25,Bir kadın brokoli kesiyor.,Bir kadın bıçakla brokoli kesiyor.
3.8,Bir adam patates soyuyor.,Bir adam patates soymuş.
2.4,Bir kadın gitar çalıyor.,Bir adam gitar çalar.
1.6,Bir kadın domatesi dilimliyor.,Bir adam soğanı dilimliyor.
2.0,Bir adam suyun altında yüzüyor.,Bir kadın suyun altında yüzüyor.
1.6,Bir kadın ve bir erkek konuşuyor.,Bir erkek ve bir kadın yemek yiyor.
4.0,Küçük bir köpek yoga toplarını kovalıyor.,Bir köpek topu kovalıyor.
2.2,Adamlar kriket oynuyor.,Adamlar basketbol oynuyor.
4.4,Bir adam motosikletle gidiyor.,Bir adam motosiklete biniyor.
3.6,Bir adam gitar çalıyor.,Bir adam şarkı söylüyor ve gitar çalıyor.
3.6,Adam telefonda konuştu.,Adam telefonda konuşuyor.
0.5,Bir adam balık tutuyor.,Bir erkek egzersiz yapıyor.
0.8,Bir adam havalanıyor.,Bir adam konuşuyor.
0.6,İki çocuk kullanıyor.,İki koy dans ediyor.
2.6,Bir adam ata biniyor.,Bir kız ata biniyor.
2.0,Bir adam bisiklete biniyor.,Bir maymun bisiklete biniyor.
2.2,Bir adam patates dilimliyor.,Bir kadın patates soyuyor.
2.4,Bir kadın patates soyuyor.,Bir adam patatesi dilimliyor.
3.6,Bir adam gitar çalıyor.,Someoen gitar çalıyor.
2.2,Bir kadın pırasa dilimliyor.,Bir kadın zencefil dilimliyor.
4.8,Adam bir kağıt tabak kesti.,Bir adam kağıt tabak kesiyor.
1.643,Adam gitar çalıyor.,Bir adam flüt çalıyor.
1.75,Bir adam piyano çalıyor.,Adam keman çalıyor.
2.25,Bir kadın et dilimliyor.,Bir kadın biraz et ekiyor.
4.0,Bir adam klavyesinde oynuyor.,Bir adam klavye piyanosu çalıyor.
4.8,Bayan yeşil soğanları doğradı.,Bayan yeşil soğanı kesti.
3.2,Birisi suda erişte yiyiyor.,Bir kadın suda erişte kaynatıyor.
4.0,Lionel Richie tavanda dans ediyor.,Lionel Ritchie tavanda dururken dans ediyor.
4.4,Bir adam piyano çalıyor.,Bir insan piyano çalıyor.
4.6,Bir kadın flüt çalıyor.,Bir kadın flüt çalar.
3.8,Bir çocuk bir kalenderi kontrol ediyor.,Bir çocuk takvime bakıyor.
4.8,Bir kadın soğan kesiyor.,Bir kadın soğan kesiyor.
4.857,Bir adam gitar çalıyor.,Bir adam gitar çalar.
5.0,Bir kadın dikiş makinesi kullanıyor.,Bir kadın makineye dikiş dikiyor.
2.533,Bir kadın krep çeviriyor.,Çizgi film şefi krep çeviriyor.
1.0,Yolda koşan bir adam var.,Yolda bir araba var.
1.0,Bir adam ata biniyor.,Bir adam telefonda konuşuyor.
2.0,Bir adam bisiklete biniyor.,Bir adam ata biniyor.
0.14300000000000002,Bir kadın dans ediyor.,Bir adam yemek yiyor.
2.0,Bir adam piyano çalıyor.,Bir adam flüt çalıyor.
1.6,Bir adam flüt çalıyor.,Bir adam piyano çalıyor.
1.6,Bir adam dönüyor.,Bir adam dans ediyor.
3.4,Bir maymun uzuvdan uzuvlara doğru sallanıyor.,Bir maymun ağaçtan ağaca sallanıyor.
4.0,İnsanlar trenden indi.,İnsanlar istasyonda trenden indi.
4.8,Bir köpek trambolinde zıplıyor.,Trambolinde bir köpek zıplar.
2.5,Bir çocuk enstrüman çalıyor.,Bir adam trompet çalıyor.
1.75,Bir kadın gitar çalıyor.,Bir adam şarkı söyledi ve gitar çalıyor.
1.0,Bir kadın bir topuz seçiyor.,Bir kadın domatesi dilimliyor.
5.0,Bir adam ipe tırmanıyor.,Bir adam ipe tırmanıyor.
1.4,Bir adam araba kaldırıyor.,Bir adam duvara tırmanıyor.
4.0,Bir adam ve kadın ciple caddeden geçiyorlar.,Bir kadın ve bir erkek açık hava aracıyla yoldan geçiyorlar.
3.8,Gömleksiz adam sandalyeye oturdu.,Gömleksiz bir adam sandalyede oturuyor.
4.0,İki kadın güreşiyor.,İki kadın yerde güreşiyor.
4.0,Köpek yavrusu mavi tenis topuyla oynadı.,Bir köpek yavrusu tenis topuyla oynuyor.
4.8,Kangroo bir şeyler yiyor.,Bir kanguru yiyor.
0.6,Bir kedi piyano çalıyor.,Bir adam gitar çalıyor.
4.75,Adam bıçakla halı kesmiş.,Bir adam bıçakla halı kesiyor.
2.2,Bir kadın yolda motorlu scooter kullanıyor.,Bir adam motorlu scooter kullanıyor.
3.0,Birisi sebzeyi dilimliyor.,Birisi domatesi dilimliyor.
0.0,Bir kadın dans ediyor.,Bir adam konuşuyor.
2.2,Bir köpek bebeğin salyalarını yalar.,Bir köpek bebeği yalar.
0.4,Bir adam kayıkla kürek çekiyor.,Bir adam domatesi dilimliyor.
4.8,Bir adam patates keser.,Bir adam patates dilimler.
4.8,Bir kadın sarımsak kesiyor.,Kadın sarımsakları doğranıyor.
3.8,Daireler çizerek koşan bir hayvan.,Bir sincap daireler çizerek koşar.
3.0,Bir adam ip köprüsünde yavaşça yürüyor.,Bir çocuk köprüden geçiyor.
4.0,Bir adam gitar çalıyor.,Odada oturan bir adam gitar çalıyor.
5.0,Bir adam flüt çalar.,Bir adam flüt çalıyor.
3.8,Bir kadın cam kaseye iki yumurta kırıyor.,Bir kadın yumurtayı kaseye kırıyor.
3.0,Bir adam balık kesiyor.,Bir adam balık tutar.
4.4,İki adam bavulları bir arabanın bagajına topluyor.,Adamlar arabanın bagajına bavul koyuyorlar.
3.8,Bir adam domateslerin üzerine yağ döküyor.,Adam kesilen domateslerin üzerine yağ döktü.
3.0,Bir adam bir şey dilimliyor.,Bir adam çörek dilimliyor.
0.667,Bir adam kanoyla kürek çekiyor.,Bir adam arp çalıyor.
4.0,Bir kadın ve bir erkek ormanda birlikte yürüyorlar.,Bir erkek ve kadın ormanlık bir alanda kol kola yürüyorlar.
3.75,Kadın kanguruyu aldı.,Bir kadın yavru kanguruyu alır.
4.133,Balıklar yüzüyor.,Bir balık yüzüyor.
4.0,İki kadın bir şeyi mutfak robotunda karıştırır.,İki kadın blenderda bir şeyler yapar.
3.6,Bir insan büyük bir dalgada sörf yapıyor.,Bir insan sörf yapıyor.
1.2,Bir adam gitar çalıyor.,Bir adam hedefi bıçaklıyor.
1.6,Bir adam grupta flüt çalıyor.,Bir adam gitar çalıyor.
4.0,Adam ekmek somunun üzerine tereyağı yayı.,Bir adam ekmeğe tereyağı dökuyor.
4.0,Bir insan erişte kaynatıyor.,Bir kadın suda erişte kaynatıyor.
3.2,Bir grup insan tepede dans ediyor.,Bir grup insan dans ediyor.
1.0,Dışarıda dans eden bir adam var.,Bir adam flüt çalıyor.
1.0,Bir kadın bir erkeği besliyor.,Bir kadın et karıştırıyor.
0.6,Bir adam fırına tava koyuyor.,Bir kadın soğan kesiyor.
0.4,Masada bir kadın oturuyor.,Bir kadın eşeğe biniyor.
3.4,Sağlık görevlileri bir hastayı sedyeyle taşır.,Bir doktor bir hastayı sedyeye bindirir.
3.6,Sahnede flüt çalan bir kadın var.,Kadın flüt çalıyor.
3.0,İki yavru panda oynuyor.,İki panda birlikte yatıyor.
4.0,Bir bebek gülüyor.,Bir bebek gülüyor ve kıkır kıkır gülüyor.
1.2,Bir adam gitar çalıyor.,Bir çocuk piyano çalıyor.
0.6,Bir adam kağıt katlıyor.,Bir kadın biberi dilimliyor.
1.6,Üç kadın dans ediyor.,Adam dans ediyor.
2.6,Kediler birbirleriyle oynuyor.,İki kedi birbiriyle kavga ediyor.
3.6,Bir insan yazıyor.,Bir insan kalemle yazıyor.
3.5,Bir adam kaçıyor.,Bir adam yolda koşuyor.
3.765,Kadın para yuvarlanıyor.,Bir kadın hamur unu ve yuvarlanıyor.
2.75,Bir kadın etin üzerine baharat ekliyor.,Kadın ete şeker ekliyor.
2.25,Bir kadın balıklara yağ ekliyor.,Bir kadın balığa su döküyor.
2.75,Genç bir çocuk elinde gitar tutuyor.,Küçük bir çocuk gitar çalıyor.
3.8,Bir çita koşuyor.,Bir çita tarlada koşuyor.
4.8,Adam pizza yiyor.,Bir adam bir dilim pizza yiyor.
3.6,Orangutan otobüse biniyor.,Bir maymun otobüse biniyor.
1.2,Bir erkek ve bir kadın lokantada konuşurlar.,Bir adam ve bir kadın bisiklete biniyor.
0.4,Bir adam gitar çalıyor.,Bir adam cam kapıyı temizliyor.
2.4,Bir kız şarkı söylüyor ve gitar çalıyor.,Genç bir adam gitar çalarken şarkı söylüyor.
3.9410000000000003,Bir kız işaret diliyle iletişim kuruyor.,Genç bir kız işaret dili kullanıyor.
0.5,Bir kadın ağırlık egzersizleri yapıyor.,Bir kadın saçını yapıyor.
3.75,Bir adam arabaya biniyor.,Yaşlı bir adam kırmızı bir arabaya biniyor.
4.0,Büyük yeşil bir top patatesi devirr.,Büyük yeşil bir top patatese çarpar.
3.0,Bir kedi klavye çalıyor.,Bir kedi piyano çalıyor.
4.2,İki köpek havuzda yüzüyor.,Köpekler havuzda yüzüyor.
2.0,Adam soğanı doğramak için helikopter kullanmış.,Adam patatesi doğramak için makine kullanmıştır.
5.0,Bir kadın tofu dilimler.,Bir kadın tofu kesiyor.
3.0,Bir geyik sürüleri karşıdan karşıya geçiyor.,Bir karibu sürüleri yolun karşısına geçiyor.
3.8,O kişi ata biniyor.,Bir adam ata biniyor.
0.0,Biri bir hayvanı besliyor.,Birisi piyano çalıyor.
0.0,Birisi Tortila'nınkini dilimliyor.,Birisi ata biniyor.
0.25,Birisi az kalanları karıştırıyor.,Birileri bir şeyler dikiyor.
4.0,Bir horoz ölü bir fareyi gagalar.,Bir tavuk ölü bir fareyi gagalıyor.
3.25,Bir kadın kanguru tutar.,Bir kadın kanguru alıyor.
0.75,Bir adam kurbağalarla oynuyor.,Bir kedi kamerayla oynuyor.
1.5,İki adam konuşuyor.,İki adam gitar çalıyor.
3.5,Bir adam büyük bir parça ekmeğe tereyağı yayar.,Bir adam bir dilim sarımsaklı ekmeğe tereyağı sürüyor.
3.0,Bir adam yüksek bir kablodan geçiyor.,Bir adam iple koşuyor.
0.2,Bir adam çim biçiyor.,Bir kadın limon kesiyor.
0.8,Bir adam kapıyı açıyor.,Bir adam gitar çalıyor.
4.2,Bir adam patatesi parçalara ayırıyor.,Bir adam patates kesiyor.
3.8,Kadın pişmiş ahtapotu kesiyor.,Bir kadın ahtapot kesiyor.
0.4,Bir adam tahtaları yumruklıyor.,Bir köpek suyun içinde koşuyor.
0.8,Bir adam dans ediyor.,Bir adam ekmek yiyor.
1.2,Birisi piyano çalıyor.,Bir adam gitar çalıyor.
2.8,İki tilki tuğla verandadaki tabaktan yiyor.,Tilkiler tabaktan yiyor.
3.2,Bir çocuk anahtar tahtası oynuyor.,Bir çocuk piyano çalıyor.
5.0,Bir insan klavye çalar.,Birisi klavye çalıyor.
0.0,Bir adam ateş ediyor.,Bir adam tükürüyor.
1.0,Birisi soğanı dilimliyor.,Someoen patates soyuyor.
0.0,Bir adam yüzüyor.,Bir kadın et dilimliyor.
3.75,Bir adam gitar çalıyor.,Bir adam akustik gitar çalar.
0.4,Bir kadın balkabağını dilimliyor.,Bir kadın fil sürüyor.
0.4,Bir kadın dans ediyor.,Bir kadın hamur yoğuruyor.
0.6,Bir kadın yumurtaları bir kaseye dönüştürüyor.,Bir kadın rafa şiş koyuyor.
4.0,Bir araba yolda ilerliyor.,Yolda bir araba var.
0.4,Birisi tava yağlıyor.,Smeone yatıyor.
0.4,Bir adam gitar çalıyor.,Bir adam makarnayı boşaltıyor.
0.4,Bir kadın votka içiyor.,Bir kadın egzersiz yapıyor.
4.8,Bir kadın eti parçalara ayırıyor.,Bir kadın biraz et kesiyor.
0.6,Bir adam bifteği durulıyor.,Bir adam gitar çalıyor.
0.8,Bir adam ürün satıyor.,Bir adam evi temizliyor.
3.2,Bir adam duvardan atlıyor.,Bir adam kısa bir duvara atlar.
3.2,Koşucular bir pistin etrafında yarışırlar.,Koşucular bir yarışta yarışırlar.
0.6,Bir adam futbol toplarını tekmeliyor.,Bir adam kaseyi karıştırıyor.
0.6,Bir kadın bir şeyler kızartıyor.,Bir kadın ata biniyor.
0.0,Bir kedi enayiyi yalıyor.,Bir kadın salatalık dolanıyor.
1.4,Bir kadın ateşin yanında dans ediyor.,Bir kadın banyo yaptırıyor.
2.2,Adam bir balığı açıyor.,Bir adam patatesi dilimliyor.
3.6,Tereyağı tavada eriyor.,Bir adam tavada tereyağı eritiyor.
3.111,Üç çocuk dans ediyor.,Çocuklar dans ediyor.
0.6,Bir kadın bir erkekle oyun oynuyor.,Bir adam piyano çalıyor.
0.4,Adam beyaz bir araba kullanıyor.,Bir adam röportaj veriyor.
4.25,Bir adam arabasını kullandı.,Bir adam araba kullanıyor.
3.0,Bir araba boşluktan geri döner.,Bir araba trafiğe kapalı şeritten geri geri çıkıyor.
5.0,Bir adam pizzaya peynir koyar.,Adam pizzaya peynir serpti.
5.0,Çocuk piyano çalıyor.,Bir çocuk piyano çalar.
3.75,Adam gitarını çaldı.,Bir adam gitar çalıyor.
0.2,Bir adam ata biniyor.,Bir adam klavye çalıyor.
0.4,Bir adam ip üzerinde yürüyor.,Bir adam mo-pad kullanıyor.
1.286,Bir kız flüt çalıyor.,Sahnede bir grup çalıyor.
4.6,İnsanlar trenden inip.,Bir grup insan trenden inip inip indir.
0.6,Bir kadın makineye dikiş dikiyor.,Bir kadın biraz et ekiyor.
2.0,Bir köpek yüzme havuzuna bakıyor.,Bir köpek havuzda dolaşıyor.
5.0,Bir adam bir parça ekmeğe yağ çeker.,Bir adam ekmeğe tereyağı uyguluyor.
1.8,Bir adam domatesleri parçalara ayırıyor.,Bir kadın sebze kesiyor.
2.4,Üç genç kız odada dans etti.,Bazı genç kızlar kamera için dans ediyor.
2.4,Bir aslan yürüyor.,Bir aslan kalemde volta atıyor.
0.4,Arabayla ateş eden bir adam.,Bir adam patates kesiyor.
4.2,Siyah bir at etrafta koşturuyor.,At koşuyor.
0.0,Bir kadın karidesi yutmuş.,Bir adam yağmurda dans ediyor.
0.0,Bir adam ata biniyor.,Bir kadın dondurucu yıkıyor.
0.8,Bir adam patikadan aşağı iner.,Bir adam sıkı bir iple yürüyor.
1.4,Bir adam patatesi dilimliyor.,Bir kadın jalepeno kesiyor.
1.5,Bir köpek topa havlıyor.,Bir köpek tenis topundan sonra yüzer.
2.5,Bir çocuk oltada sallanan bir balıktan kaçar.,Küçük bir çocuk bir oltanın etrafında koşuyor.
2.5,Bir adam vahşi doğada bir patikada yürüyor.,Bir adam yolda yürüyor.
3.5,Yaşlı bir adam podyumda konuşuyor.,Bir adam podyumda konuşma yapıyor.
3.4,Ağır çekimde ata binen bir adam.,Bir adam ata biniyor.
3.8,Bir insan burrata peyniri kesiyor.,Kişi peynir dilimliyor.
3.8,Adam otomatik tüfekle ateş ediyor.,Bir adam ateş ediyor.
1.5,Bir adam bıçağın arkası ile sarımsak eziyor.,Bir kadın bıçakla et dilimliyor.
0.5,Bir kadın tırnaklarını zımpara tahtasıyla törpulatır.,Bir kadın bebeğini biberonla besliyor.
0.0,Bir adam kaykay kullanıyor.,Bir kadın patates kesiyor.
0.0,Bir kadın duş alıyor.,Bir adam beyaz bir ata biniyor.
0.8,Bir adam dans ediyor.,Bir adam ata biniyor.
0.85,Bir adam kayıkla kürek çekiyor.,Bir adam ateş ediyor.
3.4,Bir adam tavana bağlı bir ipten sallanıyor.,Bir adam ip üzerinde sallanıyor.
0.4,Bir kadın sahilde ata biniyor.,Bir adam sırtında başka bir adam taşıyor.
1.75,Bir adam küçük bir hayvanı bir elinde tutar.,Bir adam küçük bir maymunu gösterir.
3.25,Bir kişi kare bir kağıt parçasını katlıyor.,Bir adam kağıt katlıyor.
0.75,Bir insan tavada et kızartıyor.,Bir insan elinde bir kokarca tutuyor.
0.0,Bir şempanze bir kadına zarar veriyor.,Bir adam araba kullanıyor.
0.0,Kadın karides soyuyor.,Adam elinde lemur tutuyor.
4.25,İki zebra oynuyor.,Zebralar sosyalleşiyor.
1.8,Bir kadın tereyağını dilimliyor.,Bir kadın tofu dilimler.
3.2,Bazı adamlar gitar çalıyor.,Üç adam gitar çalıp birlikte şarkı söylüyor.
3.6,Filler kendi üzerlerine su sıktılar.,Filler kendilerine su püskürtürler.
2.6,Bir köpek bir mağazanın tezgahına oturdu.,Köpek tezgahın başında duruyor.
3.2,Birisi elektrikli matkapla tahta şeritte delik açsa.,Bir adam tahta parçasında delik açar.
2.8,Bir kadın sebze dilimliyor.,Kadın sarımsakları doğranıyor.
4.6,Bir porsuk bir delik açarak.,Bir porsuk toprağı kazıyor.
0.0,Bir kadın gölde su kayağı yapıyor.,Bir adam flüt çalıyor.
0.25,Bir kız keman çalıyor.,Bir bebek gülüyor ve kıkır kıkır gülüyor.
3.923,Helikopter pistine helikopter iniyor.,Bir helikopter iniyor.
2.75,Bir kadın tavuğu kesiyor.,Bir kadın et dilimliyor.
0.0,Bir kadın salatalık kesiyor.,Bir adam gitar çalıyor.
3.0,"Bir kadın, hayran bir kalabalığın önünde bir fil sürer.",Bir kadın fillere biner.
3.8,Bir köpek yavrusu zemin boyunca geriye doğru kayıyor.,Bir köpek yavrusu kendini geriye doğru itiyor.
4.6,Bir kadın sarımsak karanfillerini böler.,Bir kadın sarımsak başını karanfile kırıyor.
2.6,Bir köpek yüzme havuzuna bakıyor.,Bir köpek havuzun kenarında yürüyor.
3.6,Bir kadın bir bardakta güzellik bakımı karıştırır.,Bir kadın bardaktaki kremayı kaşıkla karıştırıyor.
3.6,Bir adam resim çiziyor.,Bir insan resim çiziyor.
1.0,Bir kadın domates topluyor.,Bir kadın kaseye hamur döküyor.
2.75,Bir adam bilgisayar monitörüne bakıyor.,Bir adam dizüstü bilgisayar kullanıyor.
1.25,Çocuk üç tekerlekli bisiklete biniyor.,Bir kadın su scooter'ına biniyor.
2.75,İki adam lastik yuvarlama yarışında yarışır.,Bir yarışta iki kişi traktör lastiklerini takla attı.
0.0,Bir insan et kesiyor.,Mekanik boğaya binen bir kişi
0.0,Bir adam keman çalıyor.,Bir kadın dikiş makinesi kullanıyor.
2.4,Bebek kapıdan sürünerek geçti.,Bir bebek yerde sürünüyor.
2.2,Bir adam klavye çalıyor.,Bir insan piyano çalıyor.
0.2,Bir adam iki pizza kokusu alıyor.,Bir kadın bir erkeği besliyor.
2.8,Bir maymun köpeğin kuyruğunu çeker.,Bir maymun hayvanat bahçesinde bir köpeğe sataşıyor.
4.0,"Bir köpek sırt sırta, ahşap bir zeminde uzanır.",Yerde bir köpek yatıyor.
0.0,Bir kadın tavada bir şey kızartıyor.,Bir adam gitarını çalıyor.
5.0,Bir adam baharatı bir kase suya koyar.,Adam bir kasede suya baharat ekledi.
0.0,Yaşlı bir kadın tavaya yağ döküyor.,Bağlı bir adam suya giriyor.
3.2,Bir kadın soğan kesiyor.,Bir kadın soğanın yarısına kısmen dilimliyor.
3.5,Kadın kanguruyu aldı.,Bir kadın kanguru taşıyor.
1.75,Bir köpek bir dolaba ısırıyor.,Bir köpek bir sürü yiyecek açar.
1.25,Bir kadın balığın kemiklerini alıyor.,Bir adam balık yakalar.
0.833,Bir adam ot biçiyor.,Bir adam beton kırıyor.
0.0,Bir kedi televizyon izliyor.,Bir adam izin veriyor.
3.75,Çocuk köpek kulübesinin kapısına sıkışmış.,Bir çocuk köpek evinde sıkışıp kaldı.
2.75,İnsanlar yüzme havuzuna girer.,Erkekler havuza düşüyor.
3.8,Bir kadın suyun altında yüzüyor.,Bir kadın yüzüyor.
0.2,Bir adam gitar çalıyor.,Bir kadın dans ediyor.
3.4,Bir uçak havada uçuyor.,Güney Afrika Havayolları'na ait bir uçak mavi bir gökyüzünde uçuyor.
1.4,Bir ayı iki köpekten kaçıyor.,Bir ayı kurtlarla savaşıyor.
3.8,Bir kadın yüzen bir salda dinleniyor.,Bir kadın iç tüpte rahatlar.
0.4,Ameliyathanede bir adam ölüyor.,Bir adam sahnede bir kadını öpüyor.
0.0,Bir adam elinde bir yaprak tutuyor.,Bir kadın televizyon izliyor.
0.0,Bir insan ata biniyor.,Bir kadın patates dilimliyor.
0.0,Bir kadın ahtapotu dilimliyor.,Bir adam gitar çalıyor.
0.2,Bir adam su sürahilerini kırıyor.,Bir kadın sarımsak soyuyor.
0.0,Bir adam gitar çalıyor.,Bir kadın sebze kesiyor.
0.0,Bir kız kek yiyor.,Bir adam salatalık dolanıyor.
3.8,Küçük kız çimlerde bir köpek ve bir topla oynadı.,Bir bebek köpek ve topla oynar.
2.25,İnsanlar bir salın binip kürek çekmelerini.,Bir salda dört kişi yüzüyor.
2.4,Bayan patates kesti.,Bir adam patates kesiyor.
3.2,Füze patladı.,Bir roket patladı.
1.6,Karda bir köpek oynuyor.,Bir köpek halıdaki bir sineği patiliyor.
0.4,Bir kadın diğer kadınlarla dans ediyor.,Bir kadın tavuğu parçalıyor.
0.0,Bir çocuk minibüsü itiyor.,Bir insan domatesi dilimliyor.
0.4,Bir çocuk dans adımları atıyor.,Bir çocuk sürahiden bir şey döküyor.
0.6,Bir kadın gazoz açıp içiyor.,Bir kadın fillerin üzerine biniyor.
1.0,Bir adam hoparlör parçalarını bir araya getiriyor.,Bir adam gitar çalıyor.
4.6,Köpek havuzun kenarında yürüdü.,Bir köpek havuz boyunca yürüyor.
